,w2v_score,tf_score,sp_score
0,0.3351922988555005,0.0,0.619750648267
1,0.4454070743891711,0.0,0.677827726569
2,0.3144388236818117,0.34616587229330625,0.889513887312
3,0.5327117624064381,0.6817465075643725,0.657427482666
4,0.42761709388259256,0.02377029822504712,0.809640780339
5,0.43936924962211,0.18529160164807792,0.914014379344
6,0.4615340451288431,0.2385954768283714,0.665029177798
7,0.29088737667607933,0.0,0.789522236753
8,0.3484483363720023,0.16281959075729735,0.750600136352
9,0.2728483670894049,0.34167260246901465,0.794349781608
10,0.4417489097598839,0.3556892945357115,0.83380138569
11,0.4391397385703011,0.4838451238383193,0.804564481799
12,0.3578770496660924,0.0,0.732618545799
13,0.4117345328520011,0.05655180037102769,0.835492400402
14,0.4816577507223871,0.2546053089262816,0.779652647746
15,0.3488366768680916,0.41029230595016897,0.79035207208
16,0.3381052421964027,0.1844977812654197,0.917086004229
17,0.27204493615970865,0.09505950929303612,0.828747619469
18,0.27190340036695804,0.1201121741678398,0.746244618223
19,0.2985546961085709,0.0,0.649587898244
20,0.3742965276708695,0.0,0.810330268825
21,0.41105967059425935,0.21507949189200587,0.777863644268
22,0.2352010858815148,0.115325357339395,0.870272219812
23,0.4488245991210929,0.5530840122316273,0.898294492959
24,0.3824170398296925,0.05331637562982373,0.711456488019
25,0.3114669747363729,0.3758615455359241,0.862398481566
26,0.3556500130684148,0.18270390468540554,0.823264791473
27,0.35487183306884235,0.18627946055720274,0.801619628795
28,0.32324108375731825,0.04308637891760709,0.7793998255
29,0.3499537031385595,0.0,0.886134703706
30,0.4587054688179767,0.8116678546212756,0.927913684777
31,0.30333264077305,0.008179394214669542,0.756026315732
32,0.35064599846079925,0.29908317670756573,0.827165127137
33,0.4764394245675738,0.9211770813825813,0.981714435603
34,0.3824589635442688,0.177940525535242,0.868438332302
35,0.2917477183401748,0.19696653414259568,0.893300355087
36,0.3871468796016361,0.09573398846443938,0.845416512231
37,0.3008858058497506,0.0,0.847423162935
38,0.2981889030834409,0.08729362599716765,0.780181213681
